User,Original_track,Recommended_tracks
User 1),"17493: ['Jay Sean', 'Sean Paul', 'Lil Jon'] — Do You Remember)","57331: ['Don Toliver'] — Cardigan, 168704: ['Big Sean'] — Dance (A$$), 17146: ['Trey Songz'] — Can't Help but Wait, 67679: ['Dio'] — Invisible, 71038: ['Ghosts'] — Grim, Grinning Ghosts, 104278: ['T-Dre', 'Delux', 'Cali Life Style'] — Coastin', 107304: ['Mac Miller'] — Remember, 168928: ['Meek Mill', 'Big Sean'] — Burn (feat. Big Sean), 124237: ['Lil Uzi Vert', 'The Weeknd'] — UnFazed (feat. The Weeknd), 13698: ['Too $hort'] — The Ghetto"
User 1),17732: ['Angus & Julia Stone'] — Big Jet Plane),"160991: ['Baden Powell'] — Conversacao Comigo Mesmo, 95349: ['Buddy DeFranco'] — But Not For Me, 87188: ['After 7'] — 'Til You Do Me Right, 55076: ['Little Dragon'] — Feather, 4026: ['The Pied Pipers'] — Kiss Me Goodnight, 54731: ['Koop', 'Ane Brun'] — Koop Island Blues, 38077: ['Briston Maroney'] — Freakin' Out On the Interstate, 88309: ['Park Ji Yoon'] — Coming of age ceremony, 146316: ['John Cale'] — Macbeth, 164593: ['Juan Luis Guerra 4.40'] — Acompáñeme Civil"
User 1),50266: ['John Mellencamp'] — Rumbleseat),"71747: ['Todd Rundgren'] — Bang On The Drum All Day, 160025: ['Bob Dylan'] — Million Dollar Bash - Take 1, 84205: ['Neil Young', 'Crazy Horse'] — My My, Hey Hey (Out of the Blue) - Live; 2016 Remaster, 9851: ['John Prine'] — Angel from Montgomery, 46454: ['Cream'] — Dreaming, 133096: ['Grateful Dead'] — Greatest Story Ever Told - Live; 2008 Remaster, 162094: ['10cc'] — Modern Man Blues, 48511: ['The Doobie Brothers'] — Wheels of Fortune, 13053: ['Canned Heat'] — Going Up The Country, 29989: ['Fleetwood Mac'] — Don't Stop - 2004 Remaster"
User 1),"50803: ['Cherrelle', ""Alexander O'Neal""] — Everything I Miss At Home)","149454: ['Soul II Soul'] — Jazzie's Groove, 136451: ['Alicia Myers'] — You Get The Best From Me (Say, Say, Say), 31315: ['The System'] — You Are in My System, 31434: ['Klymaxx'] — Meeting In The Ladies Room, 31513: ['Klymaxx'] — I Miss You, 85944: ['Al B. Sure!'] — If I'm Not Your Lover, 118437: ['Al B. Sure!'] — Rescue Me, 32352: ['Soul II Soul', 'Caron Wheeler'] — Keep On Movin', 33128: ['Mary Jane Girls'] — In My House - Single Version, 13117: ['The Deele'] — Two Occasions"
User 1),52028: ['Bill Withers'] — Use Me),"130062: ['Stevie Wonder'] — Sylvia, 65062: ['Stevie Wonder'] — Sugar, 53037: ['Teena Marie'] — Lovergirl, 148190: ['Stevie Wonder'] — Living For The City, 65266: ['Bill Withers'] — Do It Good, 120141: ['Blue Magic'] — What's Come over Me, 56464: ['Deniece Williams'] — Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack, 101601: ['Deniece Williams'] — Let's Hear It for the Boy - From ""Footloose"" Soundtrack, 11682: ['Teddy Pendergrass'] — Love T.K.O., 113596: ['Stevie Wonder'] — With A Song In My Heart"
User 1),66552: ['Bee Gees'] — Stayin’ Alive - Serban Mix),"97598: ['The Supremes'] — He Means The World To Me, 114985: ['The Spinners'] — O-o-h Child, 160870: ['Diana Ross'] — Surrender, 144735: ['Otis Redding'] — Respect - Live at the Whisky a Go Go, 1968; 2008 Remaster, 99399: ['Bobby Womack'] — Fact Of Life/He'll Be There When The Sun Goes Down Medley, 50113: ['Diana Ross'] — Missing You - 7"" Single Mix, 101274: ['Lionel Richie'] — Stuck On You, 160473: ['Al Green'] — Summertime, 165221: ['Mary Wells'] — He's The One I Love, 96655: ['The Isley Brothers'] — Respectable"
User 1),"66694: ['Haruomi Hosono', 'イエロー・マジック・バンド'] — 四面道歌 (2019 Remastering))","151384: ['Liquido'] — Narcotic - Radio Edit, 33924: ['Sarah McLachlan'] — Building a Mystery, 167907: ['Dyme Def'] — Let It Be, 19481: ['YNW Melly'] — Suicidal, 167395: ['Charlotte Martin'] — Wild Horses, 54693: ['September'] — Cry For You, 53714: ['Sophie Ellis-Bextor'] — Murder On The Dancefloor - Radio Edit, 91286: ['Aisha Badru'] — Waiting Around - Acoustic, 49399: ['Shooting Star'] — Last Chance - Remastered, 121653: ['El Haragán y Compañía'] — El No Lo Mato"
User 1),67720: ['MC5'] — Kick out the Jams),"49997: ['Violent Femmes'] — Confessions, 163801: ['Violent Femmes'] — Old Mother Reagan, 145557: ['MC5'] — I Want You Right Now, 101589: ['Violent Femmes'] — Jesus Walking On The Water, 102911: ['Violent Femmes'] — Out The Window, 49932: ['Violent Femmes'] — Promise, 119066: ['Violent Femmes'] — Do You Really Want To Hurt Me, 67682: ['Violent Femmes'] — Gimme The Car - 1983 Rough Trade UK Single, 160750: ['MC5'] — Tonight, 148452: ['Violent Femmes'] — Sweet Misery Blues"
User 1),67859: ['Judas Priest'] — Some Heads Are Gonna Roll - Remastered),"85600: ['Ozzy Osbourne'] — Never, 84736: ['Judas Priest'] — (Take These) Chains, 135130: ['Ozzy Osbourne'] — Party with the Animals, 50427: ['Ozzy Osbourne'] — Secret Loser, 49832: ['Ozzy Osbourne'] — So Tired, 118380: ['Ozzy Osbourne'] — I Don't Know - Live 1981, 67623: ['Judas Priest'] — Bloodstone, 12033: ['Judas Priest'] — You've Got Another Thing Coming, 101155: ['Judas Priest'] — Pain and Pleasure, 132177: ['Judas Priest'] — Raw Deal"
User 1),82035: ['Free'] — Goin' Down Slow),"86538: ['Dinosaur Jr.'] — Puke and Cry, 91282: ['GoldLink', 'Masego'] — Late Night (feat. Masego), 147325: ['Ned Doheny'] — To Prove My Love, 52624: ['Sublime', 'Gwen Stefani'] — Saw Red, 80361: ['Joseph Barnby', 'Mormon Tabernacle Choir', 'Richard P. Condie', 'Alexander Schreiner', 'The Philadelphia Brass Ensemble & Percussion'] — Now the Day is Over - Voice, 148517: ['David Gilmour'] — Near The End, 31807: ['Paul Simon', 'Ladysmith Black Mambazo'] — Homeless (with Ladysmith Black Mambazo), 112296: ['Sabah'] — امورتى الحلوة, 151099: [""Old 97's""] — Barrier Reef, 70923: ['Tim Buckley'] — Song to the Siren - Take 7"
User 1),84920: ['R.E.M.'] — Catapult),"50373: ['R.E.M.'] — Driver 8, 104019: ['R.E.M.'] — E-Bow The Letter, 148173: ['R.E.M.'] — Stumble, 32066: ['R.E.M.'] — It's The End Of The World As We Know It (And I Feel Fine) - Remastered, 104904: ['R.E.M.'] — Imitation Of Life, 86706: ['R.E.M.'] — Ignoreland, 69342: ['R.E.M.'] — Half A World Away, 148684: ['R.E.M.'] — Green Grow The Rushes, 102946: ['R.E.M.'] — Me In Honey, 31308: ['R.E.M.'] — Talk About The Passion"
